n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,surrogate,sampler,problem,qoi,n,seed,fit_time_s,failed
500,0.05138061390655808,467,181.71226737213556,467,50.854721907694014,0.018581298162781104,4034.9196891318475,63.5210176959709,0.9928134663701009,0.085771352782142,RBF,LHS,rd_2d,J,30,2,0.004034356999909505,False
500,0.050214771768225135,284,142.63559763147578,284,20.33814075279305,0.007338691152100788,960.8411471810688,30.997437751870216,0.9983831503882636,0.04185531443282884,Kriging,LHS,rd_2d,J,30,2,1.0634869280038401,False
500,0.049368429364564835,467,181.17190047235272,134,49.33447930112993,0.018175103525612978,3720.3156157801395,60.99439003531505,0.9932312538436814,0.0823596903073927,RBF,LHS,rd_2d,J,30,3,0.004441270008101128,False
500,0.027263527669744336,1,154.74179787297362,1,15.912036244655784,0.005224191132315414,575.4377054229839,23.98828266931553,0.9990167160481538,0.032390971210747965,Kriging,LHS,rd_2d,J,30,3,1.1339570170093793,False
500,0.061820273275511727,134,256.2438098432822,134,52.01431307729342,0.01895701402816729,4146.033290417236,64.38969863586283,0.9926282256427303,0.08694431792113283,RBF,LHS,rd_2d,J,30,4,0.00416909100022167,False
500,0.05118115198191841,1,290.4929828167842,1,16.479005109771236,0.005353874433299915,999.7031959395804,31.618083369166772,0.9984195206023603,0.042693361682774114,Kriging,LHS,rd_2d,J,30,4,0.7726954780082451,False
500,0.05872167842540545,467,207.67461731740605,467,49.25308053237504,0.01821456985179664,3788.272594817716,61.54894470921265,0.9931215221190485,0.08310849607746891,RBF,LHS,rd_2d,J,30,5,0.004139532000408508,False
500,0.055254083215883244,406,164.28035956479107,1,21.224490601729112,0.007562526371066518,1165.9924880325837,34.146632162375596,0.998036444471978,0.04610761823022439,Kriging,LHS,rd_2d,J,30,5,0.8521755289984867,False
500,0.05066740472647358,134,210.0153903254586,134,49.13617121982113,0.01815371436523735,3774.3082483259586,61.435398984021894,0.9931720577209971,0.08295517721065142,RBF,LHS,rd_2d,J,30,6,0.004182018994470127,False
500,0.02947710453087035,56,110.33345210746302,1,11.381991295477485,0.00402638382477819,308.6754419460596,17.569161674538133,0.9994613674092216,0.023723341009520425,Kriging,LHS,rd_2d,J,30,6,0.7728891010046937,False
500,0.06178795633069292,5,177.56933765802114,5,53.78139000542888,0.01977856843489853,4298.374644164234,65.56199084960916,0.9923389435888507,0.08852724421350193,RBF,LHS,rd_2d,J,30,7,0.004309930998715572,False
500,0.059935831786195805,1,340.18262346513984,1,18.269705261369605,0.005643131378932464,1289.161516863867,35.904895444268696,0.9979930706468457,0.0484817713169547,Kriging,LHS,rd_2d,J,30,7,0.4338076150015695,False
500,0.05727295289918073,119,163.6289289691099,467,51.22575125785869,0.01895308669871902,4002.2859464289995,63.263622615441484,0.9927440327777198,0.08542379657071379,RBF,LHS,rd_2d,J,30,8,0.004062888998305425,False
500,0.0352021609871572,265,140.41166242567033,460,15.904265672157996,0.005819838610664828,592.2141312740473,24.335450093927733,0.9990119826752751,0.032859745495716165,Kriging,LHS,rd_2d,J,30,8,1.6741340220032725,False
500,0.052744908931576844,131,192.70283999345975,436,51.8325148400129,0.01881819946532064,4149.561083862553,64.41708689363834,0.992551590455964,0.08698129982106075,RBF,LHS,rd_2d,J,30,9,0.005687639000825584,False
500,0.058383731345997086,1,331.37324210022143,1,18.259986579238166,0.005623179021348156,1299.256570953363,36.04520177434665,0.9979899646925898,0.048671224574650965,Kriging,LHS,rd_2d,J,30,9,0.8505086459917948,False
500,0.056527671159778005,134,234.3060787679742,134,49.82349106378405,0.018406986901631478,3751.5434938621593,61.249844847657855,0.9931968428870186,0.08270462660759842,RBF,LHS,rd_2d,J,40,0,0.004979072997230105,False
500,0.030039868215385065,406,97.00507870351248,1,8.199539335458363,0.0027985589238404365,198.0265539539475,14.072190801504487,0.9996460748210648,0.01900144055358883,Kriging,LHS,rd_2d,J,40,0,1.5389195189927705,False
500,0.06158623063033514,134,255.27370770868674,134,50.05285636437754,0.018481427790126397,3770.919026157654,61.40780916265987,0.9931715111162369,0.08291792314283146,RBF,LHS,rd_2d,J,40,1,0.004945147011312656,False
500,0.013491815897212116,201,75.28158557590632,201,7.78891476974637,0.002643685828292415,156.02982444315992,12.491189872992882,0.9997240544436687,0.016866641815991394,Kriging,LHS,rd_2d,J,40,1,1.0557333169999765,False
500,0.04637471761506198,134,192.222287163474,134,49.241838940592416,0.01816872139428386,3711.657103984136,60.92337075362899,0.99325272740816,0.08226379417592665,RBF,LHS,rd_2d,J,40,2,0.005299775002640672,False
500,0.028929032295647764,265,101.47953704811971,1,9.695161168702425,0.0033670940249464045,243.0859348925542,15.591213387435701,0.9996044134784452,0.02105255098644658,Kriging,LHS,rd_2d,J,40,2,3.1408560359996045,False
500,0.051932542952318576,467,183.66421521215307,467,49.730304737712416,0.01826656290221276,3827.177702302561,61.86418755873677,0.9930649544267129,0.08353416315018485,RBF,LHS,rd_2d,J,40,3,0.00493136300065089,False
