qoi,sampler,n,median,q25,q75
J2,f-greedy,10,0.3059411127487482,0.3059411127487482,0.3059411127487482
J2,f-greedy,15,0.2248163792617561,0.2248163792617561,0.2248163792617561
J2,f-greedy,20,0.1562910009303995,0.1562910009303995,0.1562910009303995
J2,f-greedy,25,0.14191508095589,0.14191508095589,0.14191508095589
J2,f-greedy,30,0.1390305336750905,0.1390305336750905,0.1390305336750905
J2,f-greedy,35,0.1217478556815639,0.1217478556815639,0.1217478556815639
J2,f-greedy,40,0.1284742373649984,0.1284742373649984,0.1284742373649984
J2,f-greedy,45,0.1105752283263191,0.1105752283263191,0.1105752283263191
J2,f-greedy,50,0.2978237999053787,0.2978237999053787,0.2978237999053787
J2,f-greedy,55,0.1775930351598034,0.1775930351598034,0.1775930351598034
J2,f-greedy,60,0.1196474955623867,0.1196474955623867,0.1196474955623867
J2,β-greedy(β=0.5),5,0.1722541088257061,0.1722541088257061,0.1722541088257061
J2,β-greedy(β=0.5),10,0.1442966343760997,0.1442966343760997,0.1442966343760997
J2,β-greedy(β=0.5),15,0.1214377666559304,0.1214377666559304,0.1214377666559304
J2,β-greedy(β=0.5),20,0.1081625997314343,0.1081625997314343,0.1081625997314343
J2,β-greedy(β=0.5),25,0.1012368121526682,0.1012368121526682,0.1012368121526682
J2,β-greedy(β=0.5),30,0.0983210146048367,0.0983210146048367,0.0983210146048367
J2,β-greedy(β=0.5),35,0.0988977225179045,0.0988977225179045,0.0988977225179045
J2,β-greedy(β=0.5),40,0.0959626733814533,0.0959626733814533,0.0959626733814533
J2,β-greedy(β=0.5),45,0.0967322359116456,0.0967322359116456,0.0967322359116456
J2,β-greedy(β=0.5),50,0.0975565078467807,0.0975565078467807,0.0975565078467807
J2,β-greedy(β=0.5),55,0.0978366804543913,0.0978366804543913,0.0978366804543913
J2,β-greedy(β=0.5),60,0.097483809550793,0.097483809550793,0.097483809550793
