problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
AdvDiff-AMICon,q,f-greedy,0,5,81,0.9535404411722531,0,7.942991874964901,0,0.11627764660580472,0.029988122731821432,0.7821014108022403,0.8843649760151293,0.20742130775136083,0.9706327652695367,1.0525002852777328,89.45370518714721,False
AdvDiff-AMICon,q,f-greedy,0,10,81,0.7467707251981377,0,6.220600140900512,0,0.10700729578084936,0.03942915484625215,0.4829962442735521,0.6949793121191106,0.7411075528208023,0.762772961189445,0.14803703235666651,1879905597.1802492,False
AdvDiff-AMICon,q,f-greedy,0,15,81,0.7755418405404143,0,6.460263531701678,0,0.0973202522865339,0.02713850301293807,0.5166287279538914,0.7187688974586278,0.7573277610750335,0.7888831663976579,0.1,768339503313588.2,False
AdvDiff-AMICon,q,f-greedy,0,20,81,0.751095721957057,0,6.25662736390231,0,0.08906106367258299,0.0210915372288144,0.48428059939211493,0.6959027226503105,0.8162559025551313,0.7637864483148807,0.1801173528334133,1.0115489252734302e+16,False
AdvDiff-AMICon,q,f-greedy,0,25,81,0.7701112667088403,0,6.415026851684666,0,0.08916230799637036,0.019471992132471264,0.5091638206872194,0.7135571600700391,0.7769158892588276,0.7831630358966305,0.14803703235666651,4.5217488037479777e+18,False
AdvDiff-AMICon,q,f-greedy,0,30,81,0.6669879460290882,0,5.5560095904223274,0,0.07474443961567698,0.014386147709587587,0.38160638880471565,0.6177429795673243,0.9143334582410424,0.6780024003042575,0.48026560105467186,735277753584364.0,False
AdvDiff-AMICon,q,f-greedy,0,35,81,0.6719663511920272,0,5.597479705429609,0,0.07513809685637983,0.01432929001394055,0.3872841853676118,0.6223216092725784,0.9119354964276298,0.6830276649093543,0.48026560105467186,3.306127822851548e+16,False
AdvDiff-AMICon,q,f-greedy,0,40,81,0.610285440571299,0,5.083677719958941,0,0.06782536705174948,0.012598301874124262,0.31956553259195974,0.5653012759511159,0.9443946661145962,0.6204451279371359,0.7109709432312434,900386183593987.4,False
AdvDiff-AMICon,q,f-greedy,0,45,81,0.5943041285718306,0,4.9505533910033686,0,0.06584827176846707,0.012067416676719697,0.3028426468064978,0.550311408937247,0.9551749288587004,0.6039930335357342,0.7109709432312434,2436116517824148.0,False
AdvDiff-AMICon,q,f-greedy,0,50,81,0.4985537384809427,0,4.152952641546269,0,0.05815757068393348,0.013041534843620802,0.21365870321433758,0.46223230438204727,0.9718515999644508,0.5073220129327931,0.7109709432312434,5.339104319447022e+17,False
AdvDiff-AMICon,q,f-greedy,0,55,81,0.42059849758571344,0,3.5035854848890073,0,0.05246226284757758,0.014400695103092472,0.15253785206714834,0.39056094539411945,0.9821651397796639,0.4286592761082991,0.7109709432312434,1.390778166944663e+18,False
AdvDiff-AMICon,q,f-greedy,0,60,81,0.33536755108916244,0,2.7936117005727343,0,0.042053453224411876,0.011704760020910976,0.09674745645676905,0.31104253158815603,0.9933132769332665,0.3413840221400674,1.0525002852777328,4.56224155725531e+17,False
AdvDiff-AMICon,q,f-greedy,0,65,81,0.34013441122168114,0,2.8333196454766156,0,0.042941834767115765,0.01216177014668447,0.09952737606772599,0.31547959691194927,0.9931390099343856,0.34625391308070697,1.0525002852777328,1.8368087918081466e+19,False
AdvDiff-AMICon,q,f-greedy,0,70,81,0.3494635394607114,0,2.9110312837077377,0,0.04570768932738938,0.014083396188537208,0.10512262222965427,0.32422618991940527,0.9939763125514388,0.35585371631553,1.0525002852777328,1.1752991931928202e+18,False
AdvDiff-AMICon,q,f-greedy,0,75,81,0.3121360446603947,0,2.6000932520210984,0,0.03829452152334583,0.010048136247287768,0.08370052418010965,0.2893104287441254,0.9966200611874875,0.31753200215882543,1.2805820423628653,2.585493763313255e+18,False
AdvDiff-AMICon,q,f-greedy,0,80,81,0.31863233691366016,0,2.6542073664908,0,0.040073888348973616,0.01123962872456449,0.08734217989477434,0.2955371040914733,0.9969030417315681,0.324366075504951,1.2805820423628653,3.4156122963026504e+18,False
AdvDiff-AMICon,q,f-greedy,0,85,81,0.31780720993929584,0,2.6473340587943452,0,0.04013649491516011,0.011376904188554565,0.08714927574908066,0.29521056171668497,0.9976937896047756,0.3240076796652077,1.2805820423628653,3.4304554364424786e+18,False
AdvDiff-AMICon,q,f-greedy,0,90,81,0.32215066505433054,0,2.683515039902584,0,0.04119717166881932,0.01204452506575445,0.08957712105362628,0.29929437190436153,0.9975177931044452,0.32848985623574684,1.2805820423628653,3.546503232417468e+18,False
AdvDiff-AMICon,q,f-greedy,0,95,81,0.3122825398727966,0,2.601313557140406,0,0.03833406838286908,0.010074426194380082,0.08395797226341682,0.28975502111855944,0.9968703930965246,0.31801996350681905,1.2805820423628653,9.259120635525962e+18,False
AdvDiff-AMICon,q,f-greedy,0,100,81,0.339699824593755,72,2.1812091946720775,0,0.037687303746983085,0.013991509285574313,0.06037202709107822,0.2457071978821097,0.9956245704667243,0.26967537543330006,1.5580901878706048,7.600163342661776e+18,False
