*********************************************************
               r                z               ur               uz               tr               tz              err              ett              ezz              erz              srr              stt              szz              srz 
 1.049292196E+00  2.992921959E-01  8.673531643E+01 -2.157911234E-03  3.637593833E-01  1.616396223E+01 -6.800931179E+01  8.266078482E+01  3.183328747E-01  5.196562618E-01 -7.949474031E+01  1.314433950E+02  1.616396223E+01  3.637593833E-01 

 1.013207804E+00  3.257078041E-01  8.928826063E+01  2.764372225E-02 -1.407225771E+00  1.323841830E+01 -7.200357758E+01  8.812433173E+01 -1.505458595E+00 -2.010322530E+00 -8.545894828E+01  1.387201248E+02  1.323841830E+01 -1.407225771E+00 

 1.013207804E+00  3.617921959E-01  8.931676018E+01  4.999384562E-02  4.632613401E-01  1.358448994E+01 -7.313643781E+01  8.815245977E+01 -8.907482098E-01  6.618019145E-01 -8.755947550E+01  1.382449811E+02  1.358448994E+01  4.632613401E-01 

 1.049292196E+00  3.257078041E-01  8.674619094E+01  1.005880371E-02 -9.923562547E-01  1.589958718E+01 -6.792058015E+01  8.267114848E+01  1.679552776E-01 -1.417651792E+00 -7.942436242E+01  1.314040577E+02  1.589958718E+01 -9.923562547E-01 

 1.049292196E+00  3.617921959E-01  8.675962521E+01  3.557251953E-03  4.115455244E-01  1.580178545E+01 -6.799251340E+01  8.268395166E+01  1.533776641E-01  5.879221777E-01 -7.960246203E+01  1.313445890E+02  1.580178545E+01  4.115455244E-01 

 1.075707804E+00  2.632078041E-01  8.496993695E+01 -2.891030070E-02 -1.399535048E-01  1.639689815E+01 -6.417167864E+01  7.898979317E+01  3.419909770E-01 -1.999335783E-01 -7.392223931E+01  1.265038212E+02  1.639689815E+01 -1.399535048E-01 

 1.075707804E+00  2.992921959E-01  8.498999375E+01 -1.958441344E-02 -4.740527428E-02  1.616914573E+01 -6.422388093E+01  7.900843838E+01  2.634124077E-01 -6.772182039E-02 -7.411306494E+01  1.264121821E+02  1.616914573E+01 -4.740527428E-02 

 1.111792196E+00  2.632078041E-01  8.273943390E+01 -4.779468124E-02  1.350510867E-01  1.636141877E+01 -5.953076910E+01  7.441987289E+01  2.970856294E-01  1.929301239E-01 -6.739757785E+01  1.201333209E+02  1.636141877E+01  1.350510867E-01 

 1.111792196E+00  2.992921959E-01  8.275701121E+01 -3.752559197E-02  5.212442260E-02  1.622584069E+01 -5.961831850E+01  7.443568277E+01  2.724931404E-01  7.446346086E-02 -6.762129560E+01  1.200543062E+02  1.622584069E+01  5.212442260E-02 

 1.075707804E+00  3.257078041E-01  8.500156722E+01 -1.276727700E-02 -2.317104966E-01  1.601503506E+01 -6.423184072E+01  7.901919732E+01  1.993104594E-01 -3.310149952E-01 -7.418857659E+01  1.263628767E+02  1.601503506E+01 -2.317104966E-01 

 1.075707804E+00  3.617921959E-01  8.501412456E+01 -8.216500521E-03 -6.828185739E-02  1.586634802E+01 -6.425048032E+01  7.903087088E+01  1.416073183E-01 -9.754551055E-02 -7.428257467E+01  1.263113170E+02  1.586634802E+01 -6.828185739E-02 

 1.111792196E+00  3.257078041E-01  8.276765336E+01 -3.063767104E-02  2.756533405E-03  1.613011063E+01 -5.965776678E+01  7.444525484E+01  2.462237403E-01  3.937904865E-03 -6.773547610E+01  1.200087542E+02  1.613011063E+01  2.756533405E-03 

 1.111792196E+00  3.617921959E-01  8.277931666E+01 -2.247672017E-02 -2.290944809E-02  1.601683344E+01 -5.969201247E+01  7.445574538E+01  2.101689287E-01 -3.272778299E-02 -6.784622052E+01  1.199606405E+02  1.601683344E+01 -2.290944809E-02 

 1.013207804E+00  6.382078041E-01  8.931676018E+01 -4.999384568E-02 -4.632613401E-01  1.358448994E+01 -7.313643781E+01  8.815245977E+01 -8.907482099E-01 -6.618019145E-01 -8.755947550E+01  1.382449811E+02  1.358448994E+01 -4.632613401E-01 

 1.013207804E+00  6.742921959E-01  8.928826063E+01 -2.764372231E-02  1.407225771E+00  1.323841830E+01 -7.200357758E+01  8.812433173E+01 -1.505458595E+00  2.010322530E+00 -8.545894828E+01  1.387201248E+02  1.323841830E+01  1.407225771E+00 

 1.049292196E+00  6.382078041E-01  8.675962521E+01 -3.557251999E-03 -4.115455245E-01  1.580178545E+01 -6.799251340E+01  8.268395166E+01  1.533776641E-01 -5.879221778E-01 -7.960246203E+01  1.313445890E+02  1.580178545E+01 -4.115455245E-01 

 1.049292196E+00  6.742921959E-01  8.674619094E+01 -1.005880375E-02  9.923562546E-01  1.589958718E+01 -6.792058015E+01  8.267114848E+01  1.679552776E-01  1.417651792E+00 -7.942436242E+01  1.314040577E+02  1.589958718E+01  9.923562546E-01 

 1.013207804E+00  7.007078041E-01  8.929620307E+01 -5.751659248E-02 -2.986412473E-01  1.401960033E+01 -7.339410080E+01  8.813217063E+01 -5.940297942E-01 -4.266303533E-01 -8.790049907E+01  1.382362809E+02  1.401960033E+01 -2.986412473E-01 

 1.013207804E+00  7.367921959E-01  8.925260938E+01 -2.830824780E-02  1.588445334E+00  1.357016950E+01 -7.175005467E+01  8.808914522E+01 -1.463622682E+00  2.269207620E+00 -8.483083528E+01  1.389440446E+02  1.357016950E+01  1.588445334E+00 

 1.049292196E+00  7.007078041E-01  8.673531643E+01  2.157911191E-03 -3.637593833E-01  1.616396223E+01 -6.800931179E+01  8.266078482E+01  3.183328748E-01 -5.196562619E-01 -7.949474031E+01  1.314433950E+02  1.616396223E+01 -3.637593833E-01 

 1.049292196E+00  7.367921959E-01  8.671354050E+01  1.858464339E-03  9.960630185E-01  1.635515107E+01 -6.789701567E+01  8.264003185E+01  3.571363605E-01  1.422947169E+00 -7.920066177E+01  1.315512048E+02  1.635515107E+01  9.960630185E-01 

 1.075707804E+00  6.382078041E-01  8.501412456E+01  8.216500485E-03  6.828185734E-02  1.586634802E+01 -6.425048032E+01  7.903087088E+01  1.416073184E-01  9.754551048E-02 -7.428257467E+01  1.263113170E+02  1.586634802E+01  6.828185734E-02 

 1.075707804E+00  6.742921959E-01  8.500156722E+01  1.276727696E-02  2.317104966E-01  1.601503506E+01 -6.423184072E+01  7.901919732E+01  1.993104594E-01  3.310149951E-01 -7.418857659E+01  1.263628767E+02  1.601503506E+01  2.317104966E-01 

 1.111792196E+00  6.382078041E-01  8.277931666E+01  2.247672015E-02  2.290944802E-02  1.601683344E+01 -5.969201247E+01  7.445574538E+01  2.101689288E-01  3.272778288E-02 -6.784622052E+01  1.199606405E+02  1.601683344E+01  2.290944802E-02 

 1.111792196E+00  6.742921959E-01  8.276765336E+01  3.063767102E-02 -2.756533493E-03  1.613011063E+01 -5.965776678E+01  7.444525484E+01  2.462237404E-01 -3.937904991E-03 -6.773547610E+01  1.200087542E+02  1.613011063E+01 -2.756533493E-03 

 1.075707804E+00  7.007078041E-01  8.498999375E+01  1.958441341E-02  4.740527421E-02  1.616914573E+01 -6.422388093E+01  7.900843838E+01  2.634124078E-01  6.772182030E-02 -7.411306494E+01  1.264121821E+02  1.616914573E+01  4.740527421E-02 

