                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.88685,                0.47714,                0.90813,                0.95245,                0.97727,                0.97991,                0.74232,                0.74789,                0.65965,                0.87077,             0.00099862,             0.00099862,             0.00099862
                     84,                0.87413,                0.46522,                0.91413,                0.95704,                0.97727,                0.97826,                0.75708,                0.73232,                0.60818,                  0.867,             0.00099036,             0.00099036,             0.00099036
                     85,                0.83795,                0.46431,                0.90824,                0.95848,                0.97727,                0.97607,                0.77299,                0.65989,                0.60256,                0.84345,             0.00098211,             0.00098211,             0.00098211
                     86,                0.82771,                0.46829,                0.90727,                0.95996,                0.97727,                0.97483,                0.75178,                0.69237,                0.62768,                0.85627,             0.00097386,             0.00097386,             0.00097386
                     87,                0.86316,                0.46324,                0.91693,                0.96128,                0.97727,                0.97328,                0.76202,                0.70683,                0.65157,                0.85993,             0.00096561,             0.00096561,             0.00096561
                     88,                0.87825,                0.48037,                0.91359,                0.96021,                0.97727,                0.96813,                0.76169,                0.66652,                0.65987,                0.85999,             0.00095736,             0.00095736,             0.00095736
                     89,                0.83926,                0.47581,                0.91509,                0.96124,                0.97727,                 0.9539,                 0.7563,                0.67389,                 0.6098,                0.86777,             0.00094911,             0.00094911,             0.00094911
                     90,                0.83744,                0.46423,                0.91822,                0.95903,                0.97727,                0.96982,                0.75148,                0.66836,                0.64865,                0.86131,             0.00094085,             0.00094085,             0.00094085
                     91,                0.85324,                0.46027,                0.90847,                0.95867,                0.97727,                0.97657,                0.75768,                0.70891,                0.63143,                0.86033,              0.0009326,              0.0009326,              0.0009326
                     92,                0.84553,                0.46552,                0.91663,                0.96326,                0.97727,                0.97607,                0.74896,                0.79618,                  0.613,                0.87275,             0.00092435,             0.00092435,             0.00092435
                     93,                0.85095,                0.47261,                0.90211,                0.96115,                0.97727,                0.97826,                0.74987,                0.73999,                0.66336,                0.85963,              0.0009161,              0.0009161,              0.0009161
                     94,                0.79583,                0.45175,                0.90182,                0.96233,                0.97727,                 0.9789,                0.75057,                0.71801,                0.61753,                0.86117,             0.00090785,             0.00090785,             0.00090785
                     95,                0.82394,                0.44431,                0.90789,                0.95909,                0.97727,                 0.9762,                0.76481,                0.71774,                0.57064,                0.85126,              0.0008996,              0.0008996,              0.0008996
                     96,                0.81524,                0.45884,                0.90521,                0.96039,                0.97727,                0.97686,                0.77383,                0.71256,                 0.5521,                0.84421,             0.00089134,             0.00089134,             0.00089134
                     97,                0.78255,                0.44328,                0.89699,                 0.9618,                0.97727,                 0.9789,                0.77041,                0.72065,                0.58993,                0.85545,             0.00088309,             0.00088309,             0.00088309
                     98,                0.79062,                0.45174,                0.89329,                0.96255,                0.97727,                 0.9789,                0.74853,                0.72202,                0.56736,                0.85816,             0.00087484,             0.00087484,             0.00087484
                     99,                0.84417,                0.46346,                0.91224,                0.96004,                0.97727,                0.98245,                0.78361,                0.68232,                0.55717,                0.86138,             0.00086659,             0.00086659,             0.00086659
                    100,                0.80458,                  0.444,                0.89789,                0.96013,                0.97727,                0.97937,                0.75651,                0.72331,                0.58362,                0.86742,             0.00085834,             0.00085834,             0.00085834
                    101,                0.76409,                0.42818,                0.89951,                0.96221,                0.97727,                  0.982,                0.78169,                0.70188,                0.56194,                0.85196,             0.00085009,             0.00085009,             0.00085009
                    102,                0.83534,                0.46502,                0.91806,                 0.9671,                0.97727,                0.97972,                0.76213,                0.70451,                0.62461,                0.85807,             0.00084184,             0.00084184,             0.00084184
                    103,                0.75971,                0.42792,                0.88757,                0.96017,                0.97727,                0.97992,                0.75887,                0.74636,                0.63118,                0.86418,             0.00083358,             0.00083358,             0.00083358
                    104,                0.81159,                0.45215,                0.90483,                 0.9666,                0.97727,                0.98325,                0.74726,                0.75208,                 0.6544,                0.86214,             0.00082533,             0.00082533,             0.00082533
                    105,                0.78648,                0.43416,                0.89715,                  0.962,                0.97727,                0.98356,                0.77543,                0.67244,                0.61249,                0.85014,             0.00081708,             0.00081708,             0.00081708
                    106,                0.76783,                0.42809,                0.89329,                0.96179,                0.97727,                0.97919,                0.75487,                0.70773,                  0.633,                0.85504,             0.00080883,             0.00080883,             0.00080883
                    107,                0.77841,                0.43383,                0.89099,                0.96373,                0.97727,                0.98144,                0.79858,                0.70646,                0.64922,                0.85805,             0.00080058,             0.00080058,             0.00080058
                    108,                 0.8026,                0.43078,                0.89823,                0.96283,                0.97727,                0.97982,                0.77453,                 0.6898,                0.59819,                0.85914,             0.00079233,             0.00079233,             0.00079233
                    109,                0.77847,                0.43654,                0.88858,                0.96193,                0.97727,                0.97645,                 0.7852,                0.68704,                0.58486,                0.85002,             0.00078407,             0.00078407,             0.00078407
                    110,                0.75292,                0.42005,                0.88451,                0.96038,                0.97727,                0.95964,                 0.7274,                0.72145,                0.62856,                0.86242,             0.00077582,             0.00077582,             0.00077582
                    111,                0.76813,                0.43279,                0.89979,                0.96065,                0.97727,                 0.9702,                0.75334,                0.69368,                0.63168,                 0.8568,             0.00076757,             0.00076757,             0.00076757
                    112,                0.78101,                0.43949,                0.89102,                0.96094,                0.97727,                0.96742,                0.75774,                0.66989,                0.64092,                0.84469,             0.00075932,             0.00075932,             0.00075932
                    113,                0.75498,                0.42558,                0.87194,                0.96112,                0.97727,                0.96874,                0.74887,                0.69897,                0.60416,                0.84722,             0.00075107,             0.00075107,             0.00075107
                    114,                0.72894,                0.40745,                0.88166,                0.96179,                0.97727,                0.97535,                0.76472,                 0.6876,                0.55783,                0.83742,             0.00074282,             0.00074282,             0.00074282
                    115,                0.77188,                0.42431,                0.88502,                0.96182,                0.97727,                0.97191,                0.76377,                0.66526,                0.55126,                 0.8413,             0.00073456,             0.00073456,             0.00073456
                    116,                0.75303,                0.42615,                0.89072,                0.96157,                0.97727,                0.97517,                0.75905,                0.70008,                0.57443,                0.85797,             0.00072631,             0.00072631,             0.00072631
                    117,                0.78251,                0.43629,                  0.887,                0.96125,                0.97727,                0.97517,                0.77926,                0.68996,                  0.634,                0.86001,             0.00071806,             0.00071806,             0.00071806
                    118,                0.75793,                0.42701,                0.88903,                0.96094,                0.97727,                 0.9728,                0.76301,                0.69365,                0.60379,                0.85978,             0.00070981,             0.00070981,             0.00070981
                    119,                0.75962,                0.41811,                0.89147,                0.96223,                0.97727,                0.97265,                0.78212,                0.69077,                0.58938,                0.85679,             0.00070156,             0.00070156,             0.00070156
                    120,                0.75612,                  0.411,                0.89058,                 0.9618,                0.97727,                0.97575,                 0.7857,                0.66749,                0.61539,                0.85296,             0.00069331,             0.00069331,             0.00069331
                    121,                0.74567,                0.41177,                0.87559,                0.96736,                0.97727,                0.97169,                0.78361,                0.67999,                0.59658,                0.84638,             0.00068505,             0.00068505,             0.00068505
                    122,                0.73516,                0.41626,                0.87367,                0.96728,                0.97727,                0.97554,                0.78674,                0.70539,                0.59229,                0.85221,              0.0006768,              0.0006768,              0.0006768
                    123,                0.68456,                 0.3934,                0.87238,                0.96737,                0.97727,                0.97265,                0.78352,                0.68956,                0.61053,                0.85667,             0.00066855,             0.00066855,             0.00066855
                    124,                0.72324,                0.40295,                0.87742,                0.96236,                0.97727,                0.97576,                0.78336,                 0.7046,                0.58457,                0.85727,              0.0006603,              0.0006603,              0.0006603
                    125,                0.73951,                   0.42,                0.87574,                0.96202,                0.97727,                0.97191,                0.76887,                0.70573,                0.57862,                 0.8658,             0.00065205,             0.00065205,             0.00065205
                    126,                0.67264,                0.39041,                0.85983,                0.96086,                0.97727,                0.96808,                0.76686,                 0.6924,                0.58556,                0.85456,              0.0006438,              0.0006438,              0.0006438
                    127,                0.73523,                0.40408,                0.88531,                0.96257,                0.97727,                0.96995,                0.76583,                0.66932,                  0.574,                0.84256,             0.00063554,             0.00063554,             0.00063554
                    128,                0.69396,                 0.3941,                  0.869,                0.96033,                0.97727,                0.96874,                0.76436,                0.67263,                0.55046,                0.85025,             0.00062729,             0.00062729,             0.00062729
                    129,                0.70136,                0.40112,                0.87449,                0.96406,                0.97727,                0.96524,                0.77534,                0.68407,                0.54108,                0.84567,             0.00061904,             0.00061904,             0.00061904
                    130,                0.69915,                0.40201,                0.86692,                0.96721,                0.97727,                0.98013,                0.79671,                0.68176,                0.54763,                0.84776,             0.00061079,             0.00061079,             0.00061079
                    131,                0.72105,                0.41435,                0.86897,                0.96239,                0.97727,                0.97457,                0.76832,                0.70167,                0.57814,                0.84924,             0.00060254,             0.00060254,             0.00060254
                    132,                0.67958,                  0.384,                0.87298,                0.96745,                0.97727,                0.97576,                0.78711,                0.68889,                0.57007,                0.85339,             0.00059429,             0.00059429,             0.00059429
                    133,                0.67575,                0.38834,                0.85943,                0.96743,                0.97727,                0.97393,                0.79656,                0.66456,                0.56597,                0.84303,             0.00058603,             0.00058603,             0.00058603
